Key,POS,DictForm,Transliteration,Translation,SpecialTags,LinkedTo,Mnemonic,Chapter,DifficultyPreset,Type,Subtype,Case_,Number,Gender,Person,Tense,Voice,Mood
334,V,επεμφθην,epemphthen,I was sent,,,0,15,0,,,None,1,None,1,A,P,I
335,V,επορυεθην,eporuethen,I went,,,0,15,0,,,None,1,None,1,A,N,I
336,V,εσωθην,esothen,I was saved,,,0,15,0,,,None,1,None,1,A,P,I
337,V,ωφθην,ophthen,I was seen,,Find ὁραω,0,15,0,,,None,1,None,1,A,P,I
338,V,απεσταλην,apestalen,I was sent,,Find αποστελλω,0,15,0,,,None,1,None,1,A2,P,I
339,V,εγραφην,egraphev,I was written,,,0,15,0,,,None,1,None,1,A2,P,I
340,N,αἱμα; αἱματος,haima; haimatos,blood,Nouns of the soma type,,hematology,17,0,3,,N,1,N,,,,
341,N,θελημα; θεληματος,thelema; thelematos,will,Nouns of the soma type,,0,17,0,3,,N,1,N,,,,
342,N,ονομα; ονοματος,onoma; onomatos,name,Nouns of the soma type,,onomatopoeia,17,0,3,,N,1,N,,,,
343,N,πνευμα; πνευματος,pneuma; pneumatos,Spirit,Nouns of the soma type,,pneumatic,17,0,3,,N,1,N,,,,
344,N,πυρ; πυρος,pur/pyr; puros,fire,Nouns of the soma type,,pyromaniac,17,0,3,,N,1,N,,,,
345,N,ῥημα; ῥηματος,rema; rematos,word; saying,Nouns of the soma type,,rhetoric,17,0,3,,N,1,N,,,,
346,N,σπερμα; σπερματος,sperma; spermatos,seed; descendant,Nouns of the soma type,,sperm,17,0,3,,N,1,N,,,,
347,N,στομα; στοματος,stoma; stomatos,mouth,Nouns of the soma type,,0,17,0,3,,N,1,N,,,,
348,N,σωμα; σωματος,soma; somatos,body,Nouns of the soma type,,somatic,17,0,3,,N,1,N,,,,
349,N,ὑδωρ; ὑδατος,hudor/hydor; hudatos,water,Nouns of the soma type,,hydration,17,0,3,,N,1,N,,,,
350,N,φως; φωτος,phos; photos,light,Nouns of the soma type,,photon,17,0,3,,N,1,N,,,,
351,N,ἐλπις; ἐλπιδος,elpis; elpidos,hope,Nouns of the sarx type,,0,17,0,3,,N,1,F,,,,
352,N,νυξ; νυκτος,nux; nuktos,night,Nouns of the sarx type,,nocturnal,17,0,3,,N,1,F,,,,
353,N,σαρξ; σαρκος,sarx; sarkos,flesh,Nouns of the sarx type,,sarcophagus,17,0,3,,N,1,F,,,,
354,N,χαρις; χαριτος,charis; charitos,grace; favor,Nouns of the sarx type,,0,17,0,3,,N,1,F,,,,
355,N,χειρ; χειρος,cheir; cheiros,hand,Nouns of the sarx type,,chiropractic,17,0,3,,N,1,F,,,,
356,N,αἰων; αἰωνος,aion; aionos,age,Nouns of the archon type,,aeon,17,0,3,,N,1,M,,,,
357,N,ἀνηρ; ἀνδρος,aner; andros,man; husband,Nouns of the archon type,,android; androgenous,17,0,3,,N,1,M,,,,
358,N,ἀρχων; ἀρχοντος,archon; archontos,ruler,Nouns of the archon type,,0,17,0,3,,N,1,M,,,,
359,N,μαρτυς; μαρτυρος,martus; marturos,witness,Nouns of the archon type,,martyr,17,0,3,,N,1,M,,,,
360,N,πατηρ; πατρος,pater; patros,father,Nouns of the archon type,,paternal,17,0,3,,N,1,M,,,,
361,N,γενος; γενους,genos; genous,race,Nouns of the genos type,,genealogy,17,0,3,,N,1,N,,,,
362,N,ἐθνος; ἐθνους,ethnos; ethnous,nation; Gentile,Nouns of the genos type,,ethnic,17,0,3,,N,1,N,,,,
363,N,ελεος; ελεους,eleos; eleous,mercy,Nouns of the genos type,,0,17,0,3,,N,1,N,,,,
364,N,ἐτος; ετους,etos; etous,year,Nouns of the genos type,,0,17,0,3,,N,1,N,,,,
365,N,μερος; μερους,meros; merous,part,Nouns of the genos type,,0,17,0,3,,N,1,N,,,,
366,N,πληθος; πληθους,plethos; plethous,multitude; crowd,Nouns of the genos type,,plethora,17,0,3,,N,1,N,,,,
367,N,σκοτος; σκοτους,skotos; skotous,darkness,Nouns of the genos type,,0,17,0,3,,N,1,N,,,,
368,N,τελος; τελους,telos; telous,end,Nouns of the genos type,,teleological,17,0,3,,N,1,N,,,,
369,N,ἀρχιερευς; ἀρχιερεως,archiereus; archiereos,high priest; chief priest,Nouns of the basileus type,,0,17,0,3,,N,1,M,,,,
370,N,βασιλευς; βασιλεως,basileus; basileos,king,Nouns of the basileus type,,0,17,0,3,,N,1,M,,,,
371,N,γραμματευς; γραμματεως,grammateus; grammateos,scribe; teacher of the law,Nouns of the basileus type,,0,17,0,3,,N,1,M,,,,
372,N,ἱερευς; ἱερεως,hiereus; hiereos,priest,Nouns of the basileus type,,hierarchy,17,0,3,,N,1,M,,,,
373,N,ἀναστασις; ἀναστασεως,anastasis; anastaseos,resurrection,Nouns of the polis type,,0,17,0,3,,N,1,F,,,,
374,N,γνωσις; γνωσεως,gnosis; gnoseos,knowledge,Nouns of the polis type,,0,17,0,3,,N,1,F,,,,
375,N,δυναμις; δυναμεως,dunamis; dunameos,power,Nouns of the polis type,,0,17,0,3,,N,1,F,,,,
376,N,θλιψις; θλιψεως,thlipsis; thlipseos,affliction; tribulation,Nouns of the polis type,,0,17,0,3,,N,1,F,,,,
377,N,κλησις; κλησεως,klesis; kleseos,calling,Nouns of the polis type,,0,17,0,3,,N,1,F,,,,
378,N,κρισις; κρισεως,krisis; kriseos,judgement,Nouns of the polis type,,critic,17,0,3,,N,1,F,,,,
379,N,παρακλησις; παρακλησεως,paraklesis; parakleseos,comfort; encouragement,Nouns of the polis type,,0,17,0,3,,N,1,F,,,,
380,N,πιστις; πιστεως,pistis; pisteos,faith,Nouns of the polis type,,0,17,0,3,,N,1,F,,,,
381,N,πολις; πολεως,polis; poleos,city,Nouns of the polis type,,metropolis,17,0,3,,N,1,F,,,,
382,N,γυνη; γυναικος,gune; gunaikos,woman; wife,Nouns of the archon type,,gynecology,17,0,3,,N,1,F,,,,
383,N,θυγατηρ; θυγατρος,thugater; thugatros,daughter,Nouns of the archon type,,0,17,0,3,,N,1,F,,,,
384,N,μητηρ; μητρος,meter; metros,mother,Nouns of the archon type,,maternal,17,0,3,,N,1,F,,,,
385,A,ἁπας,apas,each; every; all; whole,Nouns of the soma type,,(emphatic πας),18,0,C,,N,1,M,,,,
386,X,εἱς,heis,one,Nouns of the soma type,,0,18,0,N,,N,1,M,,,,
387,A,μεγας,megas,great; large,Nouns of the soma type,,0,18,0,C,,N,1,M,,,,
388,N,μηδεις,medeis,no one; none; nothing; no,Nouns of the soma type,,(With non-indicative),18,0,N,,N,1,M,,,,
389,N,ουδεις,oudeis,no one; none; nothing; no,Nouns of the soma type,,(With indicative),18,0,N,,N,1,M,,,,
390,N,πας,pas,each; every; all; whole,Nouns of the soma type,,0,18,0,C,,N,1,M,,,,
391,A,πολυς,polus,much; many,Nouns of the soma type,,0,18,0,C,,N,1,M,,,,
392,N,αληθης,alethes,TRUE,Nouns of the soma type,,0,18,0,,,,,θες,,,,
393,N,δυο,duo,two,Nouns of the soma type,,0,18,0,,,,,0,,,,
394,N,δωδεκα,dodeka,twelve,Nouns of the soma type,,0,18,0,,,,,0,,,,
395,N,μειζων,meidzon,greater; larger,Nouns of the soma type,,0,18,0,,,,,ζον,,,,
396,N,πεντε,pente,five,Nouns of the soma type,,0,18,0,,,,,0,,,,
397,N,τεσσαρες,tessares,four,Nouns of the soma type,,0,18,0,,,,,ρα,,,,
398,N,τρεις,treis,three,Nouns of the soma type,,0,18,0,,,,,τρια,,,,
399,V,ἀγαπαω,agapao,I love,Contract verbs of the timao type,,0,14,0,,,,,0,,,,
400,V,γενναω,gennao,I give birth to,Contract verbs of the timao type,,genealogy,14,0,,,,,0,,,,
401,V,ἐπιτιμαω,epitimao,I rebuke; I warn,Contract verbs of the timao type,,0,14,0,,,,,0,,,,
402,V,ἐρωταω,erotao,I ask; I request,Contract verbs of the timao type,,0,14,0,,,,,0,,,,
403,V,ζαω,dzao,I live,Contract verbs of the timao type,,(dep fut ζησομαι),14,0,,,,,0,,,,
404,V,μεριμναω,merimnao,I worry; I am anxious,Contract verbs of the timao type,,0,14,0,,,,,0,,,,
405,V,νικαω,nikao,I overcome,Contract verbs of the timao type,,0,14,0,,,,,0,,,,
406,V,ὁραω,hopao,I see,Contract verbs of the timao type,,(dep fut ὀψομαι),14,0,,,,,0,,,,
407,V,πλαναω,planao,I deceive; I lead astray,Contract verbs of the timao type,,0,14,0,,,,,0,,,,
408,V,τιμαω,timao,I honor,Contract verbs of the timao type,,Timothy,14,0,,,,,0,,,,
409,V,ἀκολουθεω,akoloutheo,I follow,Contract verb of the phileo type,,0,14,0,,,,,0,,,,
410,V,αἰτεω,aiteo,I ask,Contract verb of the phileo type,,0,14,0,,,,,0,,,,
411,V,ἀσθενεω,astheneo,I am weak,Contract verb of the phileo type,,0,14,0,,,,,0,,,,
412,V,βλασφημεω,blasphemeo,I revile; I blaspheme,Contract verb of the phileo type,,0,14,0,,,,,0,,,,
413,V,δεω,deo,I bind; I tie,Contract verb of the phileo type,,0,14,0,,,,,0,,,,
414,V,δικονεω,dikoneo,I serve; I minister to,Contract verb of the phileo type,,0,14,0,,,,,0,,,,
415,V,δοκεω,dokeo,I think; I seem,Contract verb of the phileo type,,0,14,0,,,,,0,,,,
416,V,ἐπικαλεω,epikaleo,I call upon,Contract verb of the phileo type,,0,14,0,,,,,0,,,,
417,V,εὐλογεω,eulogeo,I bless,Contract verb of the phileo type,,eulogy,14,0,,,,,0,,,,
418,V,εὐχαριστεω,eucharisteo,I give thanks; I thank (with dat),Contract verb of the phileo type,,0,14,0,,,,,0,,,,
419,V,ζητεω,dzeteo,I seek,Contract verb of the phileo type,,0,14,0,,,,,0,,,,
